Basin,Epoch,AVG.values,SD,n,ID
Bighorn Basin,Eocene,16.91111111,35.50519742,17,Total Diterp
Bighorn Basin,Paleocene,8.956,12.51262962,23,Total Diterp
Bighorn Basin,PETM,0,0,0,Total Diterp
Hanna Basin,Eocene,33.686,99.36578383,14,Total Diterp
Hanna Basin,Paleocene,0.15,0.197989899,2,Total Diterp
Hanna Basin,PETM,0.618333333,1.509707477,2,Total Diterp
Bighorn Basin,Eocene,7.127777778,8.444546138,14,Total Triterp
Bighorn Basin,Paleocene,23.42,43.47470529,22,Total Triterp
Hanna Basin,Eocene,0.126666667,0.148644671,10,Total Triterp
Hanna Basin,Paleocene,0,0,0,Total Triterp
Hanna Basin,PETM,0.166666667,0.313049517,2,Total Triterp
Bighorn Basin,PETM,0,0,0,Total Triterp
