Basin,Sample ID,Epoch,ε_lipid (‰),CO2 d13C: mean ,δ13C_lipid_C27,δ13C_lipid_C29,δ13C_lipid_C31,δ13C_leaf,Δleaf,Alpha(CO2-leaf),Dleaf (ECO2-leaf)
BHB,BHB-02-046,Eocene,-5.2,-5,-29.8,-31.5,-31.8,-26.47,21.44,1.02,22.05
BHB,BHB-02-047,Eocene,-5.2,-5,-30.8,-31.5,-32.2,-26.43,21.4,1.02,22.01
BHB,BHB-02-048,Eocene,-5.2,-5,-30.7,-30.7,-31.8,-25.63,20.61,1.02,21.18
BHB,BHB-02-049,Eocene,-5.2,-5,-30.5,-31.1,-30.9,-26.07,21.05,1.02,21.64
BHB,BHB-02-050,Eocene,-5.2,-5,-31.5,-32.2,-33.4,-27.1,22.07,1.02,22.72
BHB,BHB-02-051,Eocene,-5.2,-5,-30.9,-30.8,-30.5,-25.76,20.74,1.02,21.31
BHB,BHB-02-052,Eocene,-5.2,-5,-30.8,-31.8,-32.3,-26.77,21.74,1.02,22.36
BHB,BHB-02-053,Eocene,-5.2,-5,-31,-31.5,-32.6,-26.42,21.39,1.02,22
BHB,BHB-02-054,Eocene,-5.2,-5,-30.9,-31.8,-32,-26.72,21.69,1.02,22.31
BHB,BHB-02-055,Eocene,-5.2,-5,-31.4,-31.9,-32,-26.79,21.77,1.02,22.39
BHB,BHB-07-002,Eocene,-5.2,-5,-30.4,-30,-31.4,-24.91,19.88,1.02,20.41
BHB,BHB-07-005,Eocene,-5.2,-5,-29.9,-30.9,,-25.85,20.83,1.02,21.4
BHB,BHB-07-006,Eocene,-5.2,-5,-30.6,-30.4,-31.2,-25.38,20.35,1.02,20.91
BHB,BHB-02-038,Eocene,-5.2,-5,-29.8,-30.7,-30.9,-25.62,20.6,1.02,21.17
BHB,BHB-02-039,Eocene,-5.2,-5,-30.2,-30.9,-31.3,-25.86,20.83,1.02,21.41
BHB,BHB-02-040,Eocene,-5.2,-5,-30.1,-31.3,-31.7,-26.28,21.25,1.02,21.85
