Basin,Epoch,E_nC29_alkane,E_nC29_alkane_1sd,E_nC31_alkane,E_nC31_alkane_1sd,d13Catm,d13Catm_1sd,d13CnC29_alkane,d13CnC29_alkane_1sd,d13CnC31_alkane,d13CnC31_alkane_1sd
Bighorn Basin,Eocene,-5.20,2.40,-5.60,2.50,-5.77,0.40,-31.48,0.47,-31.94,0.80
Bighorn Basin,Eocene,-5.20,2.40,-5.60,2.50,-5.33,0.40,-30.45,0.47,-31.30,0.08
Bighorn Basin,Eocene,-5.20,2.40,-5.60,2.50,-4.99,0.40,-30.99,0.27,-31.45,0.40
Bighorn Basin,Eocene,-5.20,2.40,-5.60,2.50,-4.76,0.40,-31.19,0.85,-31.81,0.45
Bighorn Basin,Paleocene,-5.20,2.40,-5.60,2.50,-4.70,0.40,-30.76,0.52,-31.30,0.83
Bighorn Basin,Paleocene,-5.20,2.40,-5.60,2.50,-4.69,0.40,-31.55,0.64,-31.79,0.89
Bighorn Basin,Paleocene,-5.20,2.40,-5.60,2.50,-4.23,0.40,-30.80,0.93,-30.78,1.53
Bighorn Basin,Paleocene,-5.20,2.40,-5.60,2.50,-4.72,0.40,-30.28,1.01,-30.95,0.64
Bighorn Basin,Paleocene,-5.20,2.40,-5.60,2.50,-5.50,0.40,-31.72,1.04,-32.13,1.10
Bighorn Basin,PETM,-5.20,2.40,-5.60,2.50,NaN,NaN,-34.68,0.87,-35.65,1.00
Hanna Basin,NaN,-5.20,2.40,-5.60,2.50,NaN,NaN,-31.74,1.46,-34.91,2.71
Hanna Basin,Eocene,-5.20,2.40,-5.60,2.50,-5.56,0.40,-31.29,1.11,-32.51,0.71
Hanna Basin,Paleocene,-5.20,2.40,-5.60,2.50,-5.10,0.40,-30.39,0.84,-31.76,0.85
Hanna Basin,Paleocene,-5.20,2.40,-5.60,2.50,-5.64,0.40,-30.81,NaN,-32.23,NaN
Hanna Basin,PETM,-5.20,2.40,-5.60,2.50,NaN,NaN,-32.41,1.49,-35.13,2.55
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
