Basin,Epoch,dD n-C29 alkane mean,dD n-C31 alkane mean
Bighorn Basin,Eocene,-188.3746918,-189.9050703
Bighorn Basin,Eocene,-197.1841967,-191.4712532
Bighorn Basin,Eocene,-197.2155668,-193.3777332
Bighorn Basin,Eocene,-186.1974371,-183.906272
Bighorn Basin,Eocene,-187.4204832,-182.9429373
Bighorn Basin,Eocene,-201.7320888,-198.2389866
Bighorn Basin,Eocene,-190.4662739,-187.9948916
Bighorn Basin,Eocene,-186.9409993,-189.0551759
Bighorn Basin,Eocene,-180.4592246,-183.8757198
Bighorn Basin,Eocene,-194.2218045,-192.6042525
Bighorn Basin,Eocene,-179.5654096,-174.4802911
Bighorn Basin,Eocene,-180.5646658,-165.7927267
Bighorn Basin,Eocene,-198.9795876,-200.0221469
Bighorn Basin,Eocene,-202.1202069,-198.7917657
Bighorn Basin,Eocene,-200.7611906,-195.0315168
Bighorn Basin,Eocene,-186.7765415,-177.9579334
Bighorn Basin,Eocene,-196,
Bighorn Basin,Eocene,-192,
Bighorn Basin,Eocene,-196,-196
Bighorn Basin,Eocene,-191,-192
Bighorn Basin,Eocene,-192,-187
Bighorn Basin,PETM,-210,-198
Bighorn Basin,PETM,-197,
Bighorn Basin,PETM,-196,-190
Bighorn Basin,PETM,-189,-183
Bighorn Basin,PETM,-182,-184
Bighorn Basin,PETM,-186,-189
Bighorn Basin,PETM,-183,-183
Bighorn Basin,PETM,-192,-189
Bighorn Basin,PETM,-190,
Bighorn Basin,PETM,-183,
Bighorn Basin,Paleocene,-186,-179
Bighorn Basin,Paleocene,-180.9735197,-176.4633938
Bighorn Basin,Paleocene,-180.5425141,-174.960771
Bighorn Basin,Paleocene,-181.7630731,-176.2711451
Bighorn Basin,Paleocene,-192,-188
Bighorn Basin,Paleocene,-192.4050703,-195.646338
Bighorn Basin,Paleocene,-197,-197
Bighorn Basin,Paleocene,-193.8479699,-195.0437432
Bighorn Basin,Paleocene,-192,-182
Bighorn Basin,Paleocene,-196,
Bighorn Basin,Paleocene,-192.7645266,-177.6482965
Bighorn Basin,Paleocene,-194.4606902,-189.8660325
Bighorn Basin,Paleocene,-195.3967159,-197.9344322
Bighorn Basin,Paleocene,-189.9663228,
Bighorn Basin,Paleocene,-195.9798279,-197.4925956
Bighorn Basin,Paleocene,-186,
Bighorn Basin,Paleocene,-195,-198
Bighorn Basin,Paleocene,-186.0412269,-184.9458352
Bighorn Basin,Paleocene,-199.9303079,-183.2669689
Bighorn Basin,Paleocene,-191.7876749,-184.2775492
Bighorn Basin,Paleocene,-193.3628522,-184.2319459
Bighorn Basin,Paleocene,-193.6260726,-187.4288321
Bighorn Basin,Paleocene,-194.9702109,-193.5613469
Bighorn Basin,Paleocene,-188.6816258,-187.1618137
Bighorn Basin,Paleocene,-190.3132201,-184.7323576
Bighorn Basin,Paleocene,-219.8612233,-218.3387696
Bighorn Basin,Paleocene,-200.5154462,-200.2415982
Bighorn Basin,Paleocene,-221.9785881,-216.9049166
Bighorn Basin,Paleocene,-211.3280868,-209.8800388
Hanna Basin,UNK,-147.3481914,-147.315318
Hanna Basin,Eocene,-179.7354909,-173.6835395
Hanna Basin,Eocene,-175.7813637,-179.6416511
Hanna Basin,Eocene,-192.0522397,-191.4250017
Hanna Basin,Eocene,-166.6744822,-166.5881893
Hanna Basin,Eocene,-169.3864677,-161.1243609
Hanna Basin,Eocene,-167.7585523,-166.8084497
Hanna Basin,Eocene,-165.9686168,-160.4176927
Hanna Basin,Eocene,-167.3162075,-166.7931668
Hanna Basin,Eocene,-179.1290514,-173.3060404
Hanna Basin,Eocene,-154.9561427,-158.2346866
Hanna Basin,Eocene,-174.4320334,-169.0933194
Hanna Basin,Eocene,-164.1831304,-162.6870929
Hanna Basin,Eocene,-170.8546522,-174.3019663
Hanna Basin,Eocene,-171.6709347,-171.6823817
Hanna Basin,Paleocene,-178.6734757,-178.7835432
Hanna Basin,Eocene,-182.8206003,-179.1478679
Hanna Basin,PETM,-184.9988773,-185.5368872
Hanna Basin,UNK,-165.441528,-129.7946271
Hanna Basin,PETM,-173.4286125,-169.2519178
Hanna Basin,PETM,-192.2524367,-186.9383778
Hanna Basin,UNK,-184.0021231,-171.627014
Hanna Basin,UNK,-180.4991826,-179.2567406
