Basin,Epoch,unique_ID,values,ID
Bighorn Basin,Eocene,1,64.4,Sum C27:35 ODD
Bighorn Basin,Eocene,2,662.3,Sum C27:35 ODD
Bighorn Basin,Eocene,3,154.4,Sum C27:35 ODD
Bighorn Basin,Eocene,4,29.7,Sum C27:35 ODD
Bighorn Basin,Eocene,5,136.7,Sum C27:35 ODD
Bighorn Basin,Eocene,6,13.1,Sum C27:35 ODD
Bighorn Basin,Eocene,7,178.3,Sum C27:35 ODD
Bighorn Basin,Eocene,8,24.1,Sum C27:35 ODD
Bighorn Basin,Eocene,9,19.2,Sum C27:35 ODD
Bighorn Basin,Eocene,10,211.9,Sum C27:35 ODD
Bighorn Basin,Eocene,11,50,Sum C27:35 ODD
Bighorn Basin,Eocene,12,31.4,Sum C27:35 ODD
Bighorn Basin,Eocene,13,10.8,Sum C27:35 ODD
Bighorn Basin,Eocene,14,45.9,Sum C27:35 ODD
Bighorn Basin,Eocene,15,134.2,Sum C27:35 ODD
Bighorn Basin,Eocene,16,128.8,Sum C27:35 ODD
Bighorn Basin,Eocene,17,199.2,Sum C27:35 ODD
Bighorn Basin,Eocene,18,208.4,Sum C27:35 ODD
Bighorn Basin,Paleocene,19,320.8,Sum C27:35 ODD
Bighorn Basin,Paleocene,20,363.9,Sum C27:35 ODD
Bighorn Basin,Paleocene,21,319.2,Sum C27:35 ODD
Bighorn Basin,Paleocene,22,645.5,Sum C27:35 ODD
Bighorn Basin,Paleocene,23,588,Sum C27:35 ODD
Bighorn Basin,Paleocene,24,77.9,Sum C27:35 ODD
Bighorn Basin,Paleocene,25,234.4,Sum C27:35 ODD
Bighorn Basin,Paleocene,26,50.9,Sum C27:35 ODD
Bighorn Basin,Paleocene,27,298.8,Sum C27:35 ODD
Bighorn Basin,Paleocene,28,512.9,Sum C27:35 ODD
Bighorn Basin,Paleocene,29,5.6,Sum C27:35 ODD
Bighorn Basin,Paleocene,30,100.9,Sum C27:35 ODD
Bighorn Basin,Paleocene,31,8.8,Sum C27:35 ODD
Bighorn Basin,Paleocene,32,39.6,Sum C27:35 ODD
Bighorn Basin,Paleocene,33,110,Sum C27:35 ODD
Bighorn Basin,Paleocene,34,66.9,Sum C27:35 ODD
Bighorn Basin,Paleocene,35,9.5,Sum C27:35 ODD
Bighorn Basin,Paleocene,36,173,Sum C27:35 ODD
Bighorn Basin,Paleocene,37,14.6,Sum C27:35 ODD
Bighorn Basin,Paleocene,38,5.2,Sum C27:35 ODD
Bighorn Basin,Paleocene,39,21.5,Sum C27:35 ODD
Bighorn Basin,Paleocene,40,10.2,Sum C27:35 ODD
Bighorn Basin,Paleocene,41,14.4,Sum C27:35 ODD
Bighorn Basin,Paleocene,42,7.1,Sum C27:35 ODD
Bighorn Basin,Paleocene,43,16.7,Sum C27:35 ODD
Hanna Basin,Eocene,44,67.12,Sum C27:35 ODD
Hanna Basin,Eocene,45,42.88,Sum C27:35 ODD
Hanna Basin,Eocene,46,152.68,Sum C27:35 ODD
Hanna Basin,Eocene,47,7.61,Sum C27:35 ODD
Hanna Basin,Eocene,48,2.76,Sum C27:35 ODD
Hanna Basin,Eocene,49,64.3,Sum C27:35 ODD
Hanna Basin,Eocene,50,111.67,Sum C27:35 ODD
Hanna Basin,Eocene,51,15.9,Sum C27:35 ODD
Hanna Basin,Eocene,52,63.37,Sum C27:35 ODD
Hanna Basin,Eocene,53,60.52,Sum C27:35 ODD
Hanna Basin,Eocene,54,83.62,Sum C27:35 ODD
Hanna Basin,Eocene,55,83.65,Sum C27:35 ODD
Hanna Basin,Eocene,56,86.59,Sum C27:35 ODD
Hanna Basin,Eocene,57,62.17,Sum C27:35 ODD
Hanna Basin,Paleocene,58,62.747,Sum C27:35 ODD
Hanna Basin,Eocene,59,24.9,Sum C27:35 ODD
Hanna Basin,Paleocene,60,21.834,Sum C27:35 ODD
Hanna Basin,PETM,61,17.539,Sum C27:35 ODD
Hanna Basin,PETM,62,55.459,Sum C27:35 ODD
Hanna Basin,PETM,63,7.379,Sum C27:35 ODD
Hanna Basin,PETM,64,0,Sum C27:35 ODD
Hanna Basin,PETM,65,6.291,Sum C27:35 ODD
Hanna Basin,PETM,66,7.035,Sum C27:35 ODD
Bighorn Basin,PETM,67,0,Sum C27:35 ODD
Bighorn Basin,Eocene,1,90.6,SUM C27:35
Bighorn Basin,Eocene,2,880.8,SUM C27:35
Bighorn Basin,Eocene,3,228.9,SUM C27:35
Bighorn Basin,Eocene,4,40.6,SUM C27:35
Bighorn Basin,Eocene,5,187.9,SUM C27:35
Bighorn Basin,Eocene,6,15.9,SUM C27:35
Bighorn Basin,Eocene,7,242.8,SUM C27:35
Bighorn Basin,Eocene,8,28.7,SUM C27:35
Bighorn Basin,Eocene,9,27.6,SUM C27:35
Bighorn Basin,Eocene,10,285,SUM C27:35
Bighorn Basin,Eocene,11,72.6,SUM C27:35
Bighorn Basin,Eocene,12,41.2,SUM C27:35
Bighorn Basin,Eocene,13,14.5,SUM C27:35
Bighorn Basin,Eocene,14,55.1,SUM C27:35
Bighorn Basin,Eocene,15,162.4,SUM C27:35
Bighorn Basin,Eocene,16,152,SUM C27:35
Bighorn Basin,Eocene,17,235.4,SUM C27:35
Bighorn Basin,Eocene,18,255.5,SUM C27:35
Bighorn Basin,Paleocene,19,386.9,SUM C27:35
Bighorn Basin,Paleocene,20,436.1,SUM C27:35
Bighorn Basin,Paleocene,21,385,SUM C27:35
Bighorn Basin,Paleocene,22,766.5,SUM C27:35
Bighorn Basin,Paleocene,23,689.9,SUM C27:35
Bighorn Basin,Paleocene,24,93.5,SUM C27:35
Bighorn Basin,Paleocene,25,289.8,SUM C27:35
Bighorn Basin,Paleocene,26,62.3,SUM C27:35
Bighorn Basin,Paleocene,27,356.6,SUM C27:35
Bighorn Basin,Paleocene,28,607.8,SUM C27:35
Bighorn Basin,Paleocene,29,7.8,SUM C27:35
Bighorn Basin,Paleocene,30,128.5,SUM C27:35
Bighorn Basin,Paleocene,31,10.7,SUM C27:35
Bighorn Basin,Paleocene,32,52.8,SUM C27:35
Bighorn Basin,Paleocene,33,135.1,SUM C27:35
Bighorn Basin,Paleocene,34,80.5,SUM C27:35
Bighorn Basin,Paleocene,35,11.1,SUM C27:35
Bighorn Basin,Paleocene,36,214.9,SUM C27:35
Bighorn Basin,Paleocene,37,18.5,SUM C27:35
Bighorn Basin,Paleocene,38,7.1,SUM C27:35
Bighorn Basin,Paleocene,39,26.2,SUM C27:35
Bighorn Basin,Paleocene,40,14,SUM C27:35
Bighorn Basin,Paleocene,41,21.9,SUM C27:35
Bighorn Basin,Paleocene,42,10.7,SUM C27:35
Bighorn Basin,Paleocene,43,22.9,SUM C27:35
Hanna Basin,Eocene,44,86.5,SUM C27:35
Hanna Basin,Eocene,45,52.43,SUM C27:35
Hanna Basin,Eocene,46,182.91,SUM C27:35
Hanna Basin,Eocene,47,9.8,SUM C27:35
Hanna Basin,Eocene,48,3.31,SUM C27:35
Hanna Basin,Eocene,49,81.18,SUM C27:35
Hanna Basin,Eocene,50,136.83,SUM C27:35
Hanna Basin,Eocene,51,19.97,SUM C27:35
Hanna Basin,Eocene,52,78.15,SUM C27:35
Hanna Basin,Eocene,53,71.12,SUM C27:35
Hanna Basin,Eocene,54,96.75,SUM C27:35
Hanna Basin,Eocene,55,114.65,SUM C27:35
Hanna Basin,Eocene,56,99.37,SUM C27:35
Hanna Basin,Eocene,57,77.65,SUM C27:35
Hanna Basin,Paleocene,58,77.606,SUM C27:35
Hanna Basin,Eocene,59,30.832,SUM C27:35
Hanna Basin,Paleocene,60,27.398,SUM C27:35
Hanna Basin,PETM,61,21.416,SUM C27:35
Hanna Basin,PETM,62,72.095,SUM C27:35
Hanna Basin,PETM,63,10.24,SUM C27:35
Hanna Basin,PETM,64,0,SUM C27:35
Hanna Basin,PETM,65,8.932,SUM C27:35
Hanna Basin,PETM,66,9.013,SUM C27:35
Bighorn Basin,PETM,67,0,SUM C27:36
Bighorn Basin,Eocene,1,29.8,ACL
Bighorn Basin,Eocene,2,29.5,ACL
Bighorn Basin,Eocene,3,29.4,ACL
Bighorn Basin,Eocene,4,29.4,ACL
Bighorn Basin,Eocene,5,29.3,ACL
Bighorn Basin,Eocene,6,29.2,ACL
Bighorn Basin,Eocene,7,29.6,ACL
Bighorn Basin,Eocene,8,29.4,ACL
Bighorn Basin,Eocene,9,29.5,ACL
