Basin,Epoch,Sample ID,Sum C27:35 ODD,SUM C27:35,ACL,Total diterpenoids,Total diterpenoids (excluding tetracylic compounds),Total triterpenoids,Aromatic triterpenes (excluding chyrsene/picene)
Bighorn Basin,Eocene,BHB-02-046,64.4,90.6,29.8,83.8,62.7,10.3,5.4
Bighorn Basin,Eocene,BHB-02-047,662.3,880.8,29.5,45.8,24.2,27.4,9.3
Bighorn Basin,Eocene,BHB-02-048,154.4,228.9,29.4,1.3,1.3,8.8,3.3
Bighorn Basin,Eocene,BHB-02-049,29.7,40.6,29.4,2.7,2.7,1.9,0
Bighorn Basin,Eocene,BHB-02-050,136.7,187.9,29.3,127,87.6,23.3,19.2
Bighorn Basin,Eocene,BHB-02-051,13.1,15.9,29.2,7.8,7.8,7.1,6.7
Bighorn Basin,Eocene,BHB-02-052,178.3,242.8,29.6,0.6,0.6,19.3,13.9
Bighorn Basin,Eocene,BHB-02-053,24.1,28.7,29.4,0.2,0.2,9.6,8.5
Bighorn Basin,Eocene,BHB-02-054,19.2,27.6,29.5,3.4,3.4,2.6,0
Bighorn Basin,Eocene,BHB-02-055,211.9,285,29.7,6.2,5.6,9.1,0
Bighorn Basin,Eocene,BHB-07-001,50,72.6,28.6,0,0,0,0
Bighorn Basin,Eocene,BHB-07-002,31.4,41.2,29.2,3.9,2.5,6.1,0.1
Bighorn Basin,Eocene,BHB-07-005,10.8,14.5,28.7,1.3,1.3,0,0
Bighorn Basin,Eocene,BHB-07-006,45.9,55.1,28.9,10.1,10.1,0.2,0
Bighorn Basin,Eocene,BHB-02-038,134.2,162.4,29.1,1.4,0.3,1.9,0
Bighorn Basin,Eocene,BHB-02-039,128.8,152,29.3,2.7,2.7,0.7,0
Bighorn Basin,Eocene,BHB-02-040,199.2,235.4,29.2,3,2.3,0,0
Bighorn Basin,Eocene,BHB-02-041,208.4,255.5,29.3,3.2,3.2,0,0
Bighorn Basin,Paleocene,SLW0904,320.8,386.9,29.5,20.4,13.8,27.5,4.4
Bighorn Basin,Paleocene,SLW0904 Lauraceae,363.9,436.1,29.5,20,15,48,9.7
Bighorn Basin,Paleocene,SLW0904 Lauraceae Cuticle C,319.2,385,29.5,29.3,23.4,23.9,5.8
Bighorn Basin,Paleocene,SLW0902,645.5,766.5,28.9,0,0,55.9,9.8
Bighorn Basin,Paleocene,SLW0901,588,689.9,28.7,0,0,38.8,9.6
Bighorn Basin,Paleocene,AFD-07-HC4,77.9,93.5,28.7,0.3,0.3,12.5,0.1
Bighorn Basin,Paleocene,AFD-07-NHD2,234.4,289.8,29.3,22.2,22.2,192.4,146.8
Bighorn Basin,Paleocene,CAB10A-0502,50.9,62.3,28.3,0.3,0.3,2.3,0.8
Bighorn Basin,Paleocene,SLW0314,298.8,356.6,28.6,10.1,7.3,23.1,6.3
Bighorn Basin,Paleocene,SLW0406,512.9,607.8,28.8,5.9,5.9,4.8,0
Bighorn Basin,Paleocene,BHB-02-026,5.6,7.8,29.5,19.9,18.2,1.8,0
Bighorn Basin,Paleocene,BHB-02-027,100.9,128.5,29.1,52.7,48.9,1.2,0
Bighorn Basin,Paleocene,BHB-02-032,8.8,10.7,29.2,4.4,4.4,0.1,0
Bighorn Basin,Paleocene,BHB-02-033,39.6,52.8,28.9,4.4,4.1,1.7,0.8
Bighorn Basin,Paleocene,BHB-02-016,110,135.1,29.6,13.4,10.9,8.9,5.9
Bighorn Basin,Paleocene,BHB-02-017,66.9,80.5,29.4,3.7,3.7,27.8,25.4
Bighorn Basin,Paleocene,BHB-02-024,9.5,11.1,29,0.1,0.1,1.9,1.8
Bighorn Basin,Paleocene,BHB-02-025,173,214.9,29.3,3.3,3.1,110.5,62
Bighorn Basin,Paleocene,BHB-02-004,14.6,18.5,28.8,1.6,1.6,0,0
Bighorn Basin,Paleocene,BHB-02-005,5.2,7.1,28.9,3.4,3.4,0.1,0.1
Bighorn Basin,Paleocene,BHB-02-006,21.5,26.2,28.8,0.6,0.6,1,0
Bighorn Basin,Paleocene,BHB-02-008,10.2,14,29.4,0.7,0.7,0.1,0.1
Bighorn Basin,Paleocene,BHB-02-010,14.4,21.9,29.2,2,2,0,0
Bighorn Basin,Paleocene,BHB-02-011,7.1,10.7,29.6,4.8,1.8,0,0
Bighorn Basin,Paleocene,BHB-02-012,16.7,22.9,29.9,0.4,0.4,1.2,0
Hanna Basin,Eocene,HDR-002,67.12,86.5,29.4,384.48,384.48,0.1,
Hanna Basin,Eocene,HDR-004,42.88,52.43,28.8,15.78,15.78,0.1,
Hanna Basin,Eocene,HDR-007,152.68,182.91,28.8,0,0,0.5,
Hanna Basin,Eocene,HDR-010,7.61,9.8,28.9,83.51,83.51,0,
Hanna Basin,Eocene,HDR-013,2.76,3.31,28,0.04,0.04,0.1,
Hanna Basin,Eocene,HDR-014,64.3,81.18,28.2,0.02,0.02,0,
Hanna Basin,Eocene,HDR-017,111.67,136.83,28.4,0.05,0.05,0,
