Basin,Sample ID,Lithology,Epoch,Wt. % TOC
Bighorn Basin,BHB-02-046,mudstone,Eocene,8.5
Bighorn Basin,BHB-02-047,mudstone,Eocene,1.9
Bighorn Basin,BHB-02-048,mudstone,Eocene,1.7
Bighorn Basin,BHB-02-049,shale,Eocene,17.2
Bighorn Basin,BHB-02-050,mudstone,Eocene,2.9
Bighorn Basin,BHB-02-051,shale,Eocene,25
Bighorn Basin,BHB-02-052,mudstone,Eocene,2.9
Bighorn Basin,BHB-02-053,shale,Eocene,46
Bighorn Basin,BHB-02-054,mudstone,Eocene,12.1
Bighorn Basin,BHB-02-055,shale,Eocene,14.8
Bighorn Basin,BHB-07-001,mudstone,Eocene,0.1
Bighorn Basin,BHB-07-002,shale,Eocene,20.3
Bighorn Basin,BHB-07-005,mudstone,Eocene,0.5
Bighorn Basin,BHB-07-006,shale,Eocene,7.6
Bighorn Basin,BHB-02-038,mudstone,Eocene,1
Bighorn Basin,BHB-02-039,shale,Eocene,0.8
Bighorn Basin,BHB-02-040,mudstone,Eocene,0.6
Bighorn Basin,BHB-02-041,shale,Eocene,0.8
Bighorn Basin,CAB6-04-04,carbshale,Eocene,0.85
Bighorn Basin,SW0905,carbshale,Eocene,0.43
Bighorn Basin,SW0306,carbshale,Eocene,0.59
Bighorn Basin,SW0817,carbshale,Eocene,0.33
Bighorn Basin,SW1011,carbshale,Eocene,0.37
Bighorn Basin,SW1001,carbshale,Eocene,1.42
Bighorn Basin,Wing 0902A,carbshale,Eocene,0.14
Bighorn Basin,SW0809,carbshale,Eocene,0.37
Bighorn Basin,SW0907,carbshale,Eocene,0.37
Bighorn Basin,SW0813,carbshale,PETM,2.6
Bighorn Basin,CAB6-04-01.1,carbshale,PETM,0.39
Bighorn Basin,SW1006,carbshale,PETM,2.1
Bighorn Basin,SW0802,carbshale,PETM,2.52
Bighorn Basin,PP0811,carbshale,PETM,0.34
Bighorn Basin,SW1007,carbshale,PETM,0.38
Bighorn Basin,SW0906,carbshale,PETM,0.19
Bighorn Basin,SW0805,carbshale,PETM,0.42
Bighorn Basin,SW1010,carbshale,PETM,0.54
Bighorn Basin,SW1009,carbshale,PETM,0.14
Bighorn Basin,SW1003,carbshale,PETM,1.3
Bighorn Basin,NUHS0817-2,carbshale,PETM,0.11
Bighorn Basin,CAB1-04-06,carbshale,PETM,0.36
Bighorn Basin,CAB7-04-03,carbshale,PETM,0.12
Bighorn Basin,CAB7-04-02,carbshale,PETM,0.28
Bighorn Basin,NUHS0819-14,carbshale,PETM,0.16
Bighorn Basin,PS0901,carbshale,Paleocene,0.36
Bighorn Basin,SW0904,carbshale,Paleocene,0.94
Bighorn Basin,SLW0904,sandstone,Paleocene,0.9
Bighorn Basin,SLW0904 Lauraceae,sandstone,Paleocene,1
Bighorn Basin,SLW0904 Lauraceae Cuticle C,sandstone,Paleocene,0.9
