Basin,Sample ID,Lithology,Epoch,Wt. % TOC
Bighorn Basin,BHB-02-046,claystone,Eocene,8.5
Bighorn Basin,BHB-02-047,claystone,Eocene,1.9
Bighorn Basin,BHB-02-048,claystone,Eocene,1.7
Bighorn Basin,BHB-02-049,claystone,Eocene,17.2
Bighorn Basin,BHB-02-050,claystone,Eocene,2.9
Bighorn Basin,BHB-02-051,claystone,Eocene,25
Bighorn Basin,BHB-02-052,claystone,Eocene,2.9
Bighorn Basin,BHB-02-053,claystone,Eocene,46
Bighorn Basin,BHB-02-054,claystone,Eocene,12.1
Bighorn Basin,BHB-02-055,claystone,Eocene,14.8
Bighorn Basin,BHB-07-001,claystone,Eocene,0.1
Bighorn Basin,BHB-07-002,claystone,Eocene,20.3
Bighorn Basin,BHB-07-005,claystone,Eocene,0.5
Bighorn Basin,BHB-07-006,claystone,Eocene,7.6
Bighorn Basin,BHB-02-038,claystone,Eocene,1
Bighorn Basin,BHB-02-039,claystone,Eocene,0.8
Bighorn Basin,BHB-02-040,claystone,Eocene,0.6
Bighorn Basin,BHB-02-041,claystone,Eocene,0.8
Bighorn Basin,CAB6-04-04,carbonaceous facies,Eocene,0.85
Bighorn Basin,SW0905,carbonaceous facies,Eocene,0.43
Bighorn Basin,SW0306,carbonaceous facies,Eocene,0.59
Bighorn Basin,SW0817,carbonaceous facies,Eocene,0.33
Bighorn Basin,SW1011,carbonaceous facies,Eocene,0.37
Bighorn Basin,SW1001,carbonaceous facies,Eocene,1.42
Bighorn Basin,Wing 0902A,carbonaceous facies,Eocene,0.14
Bighorn Basin,SW0809,carbonaceous facies,Eocene,0.37
Bighorn Basin,SW0907,carbonaceous facies,Eocene,0.37
Bighorn Basin,CAB6-04-01.1,carbonaceous facies,PETM,0.39
Bighorn Basin,SW1006,carbonaceous facies,PETM,2.1
Bighorn Basin,SW0802,carbonaceous facies,PETM,2.52
Bighorn Basin,PP0811,carbonaceous facies,PETM,0.34
Bighorn Basin,SW1007,carbonaceous facies,PETM,0.38
Bighorn Basin,SW0906,carbonaceous facies,PETM,0.19
Bighorn Basin,SW0805,carbonaceous facies,PETM,0.42
Bighorn Basin,SW1010,carbonaceous facies,PETM,0.54
Bighorn Basin,SW1009,carbonaceous facies,PETM,0.14
Bighorn Basin,SW1003,carbonaceous facies,PETM,1.3
Bighorn Basin,NUHS0817-2,carbonaceous facies,PETM,0.11
Bighorn Basin,CAB1-04-06,carbonaceous facies,PETM,0.36
Bighorn Basin,CAB7-04-03,carbonaceous facies,PETM,0.12
Bighorn Basin,CAB7-04-02,carbonaceous facies,PETM,0.28
Bighorn Basin,NUHS0819-14,carbonaceous facies,PETM,0.16
Bighorn Basin,PS0901,carbonaceous facies,Paleocene,0.36
Bighorn Basin,SW0904,carbonaceous facies,Paleocene,0.94
Bighorn Basin,SLW0904,sandstone,Paleocene,0.9
Bighorn Basin,SLW0904 Lauraceae,sandstone,Paleocene,1
Bighorn Basin,SLW0904 Lauraceae Cuticle C,sandstone,Paleocene,0.9
Bighorn Basin,SW0803,carbonaceous facies,Paleocene,0.72
Bighorn Basin,SLW0902,sandstone,Paleocene,0.6
Bighorn Basin,SW0801,carbonaceous facies,Paleocene,0.63
Bighorn Basin,SLW0901,sandstone,Paleocene,0.6
Bighorn Basin,FAS0803,carbonaceous facies,Paleocene,0.76
Bighorn Basin,FAS0801,carbonaceous facies,Paleocene,1.35
Bighorn Basin,SCD C,carbonaceous facies,Paleocene,0.09
Bighorn Basin,CAB3-04-07,carbonaceous facies,Paleocene,2.64
Bighorn Basin,AFD-07-HC4,siltstone,Paleocene,16.9
Bighorn Basin,AFD-07-NHD2,claystone,Paleocene,0.9
Bighorn Basin,CAB10A-0502,siltstone,Paleocene,26.1
Bighorn Basin,SLW0314,claystone,Paleocene,1.4
Bighorn Basin,SLW0406,claystone,Paleocene,1.1
Bighorn Basin,FAS0802,carbonaceous facies,Paleocene,0.19
Bighorn Basin,CAB3-04-06,carbonaceous facies,Paleocene,0.77
Bighorn Basin,PP0904,carbonaceous facies,Paleocene,0.55
Bighorn Basin,BHB-02-026,claystone,Paleocene,49.3
Bighorn Basin,BHB-02-027,carbonaceous facies,Paleocene,2.1
Bighorn Basin,BHB-02-032,claystone,Paleocene,55.6
Bighorn Basin,BHB-02-033,claystone,Paleocene,3.5
Bighorn Basin,BHB-02-016,claystone,Paleocene,14.3
Bighorn Basin,BHB-02-017,claystone,Paleocene,3.9
Bighorn Basin,BHB-02-024,claystone,Paleocene,30.1
Bighorn Basin,BHB-02-025,claystone,Paleocene,1.6
