Basin,Epoch,Total diterpenoids,Total diterpenoids (excluding tetracylic compounds)
Bighorn Basin,Eocene,83.8,62.7
Bighorn Basin,Eocene,45.8,24.2
Bighorn Basin,Eocene,1.3,1.3
Bighorn Basin,Eocene,2.7,2.7
Bighorn Basin,Eocene,127,87.6
Bighorn Basin,Eocene,7.8,7.8
Bighorn Basin,Eocene,0.6,0.6
Bighorn Basin,Eocene,0.2,0.2
Bighorn Basin,Eocene,3.4,3.4
Bighorn Basin,Eocene,6.2,5.6
Bighorn Basin,Eocene,0,0
Bighorn Basin,Eocene,3.9,2.5
Bighorn Basin,Eocene,1.3,1.3
Bighorn Basin,Eocene,10.1,10.1
Bighorn Basin,Eocene,1.4,0.3
Bighorn Basin,Eocene,2.7,2.7
Bighorn Basin,Eocene,3,2.3
Bighorn Basin,Eocene,3.2,3.2
Bighorn Basin,Paleocene,20.4,13.8
Bighorn Basin,Paleocene,20,15
Bighorn Basin,Paleocene,29.3,23.4
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,0,0
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,0,0
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,0.3,0.3
Bighorn Basin,Paleocene,22.2,22.2
Bighorn Basin,Paleocene,0.3,0.3
Bighorn Basin,Paleocene,10.1,7.3
Bighorn Basin,Paleocene,5.9,5.9
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,,
Bighorn Basin,Paleocene,19.9,18.2
Bighorn Basin,Paleocene,52.7,48.9
Bighorn Basin,Paleocene,4.4,4.4
Bighorn Basin,Paleocene,4.4,4.1
Bighorn Basin,Paleocene,13.4,10.9
Bighorn Basin,Paleocene,3.7,3.7
Bighorn Basin,Paleocene,0.1,0.1
Bighorn Basin,Paleocene,3.3,3.1
Bighorn Basin,Paleocene,1.6,1.6
Bighorn Basin,Paleocene,3.4,3.4
Bighorn Basin,Paleocene,0.6,0.6
Bighorn Basin,Paleocene,0.7,0.7
Bighorn Basin,Paleocene,2,2
Bighorn Basin,Paleocene,4.8,1.8
Bighorn Basin,Paleocene,0.4,0.4
Bighorn Basin,PETM,0,0
Bighorn Basin,PETM,0,0
Hanna Basin,?,0.87,0.87
Hanna Basin,Eocene,384.48,384.48
Hanna Basin,Eocene,15.78,15.78
Hanna Basin,Eocene,0,0
Hanna Basin,Eocene,83.51,83.51
Hanna Basin,Eocene,0.04,0.04
Hanna Basin,Eocene,0.02,0.02
Hanna Basin,Eocene,0.05,0.05
Hanna Basin,Eocene,0.37,0.37
Hanna Basin,Eocene,8.16,8.16
Hanna Basin,Eocene,11.64,11.64
Hanna Basin,Eocene,0.98,0.98
Hanna Basin,Eocene,0.22,0.22
Hanna Basin,Eocene,0.01,0.01
Hanna Basin,Eocene,0.02,0.02
Hanna Basin,Paleocene,0.29,0.29
Hanna Basin,Eocene,0.01,0.01
Hanna Basin,Paleocene,0.01,0.01
Hanna Basin,PETM,0,0
Hanna Basin,?,0.07,0.07
Hanna Basin,PETM,3.7,3.7
Hanna Basin,PETM,0.01,0.01
Hanna Basin,PETM,0,0
Hanna Basin,PETM,0,0
Hanna Basin,PETM,0,0
Hanna Basin,?,0,0
Hanna Basin,?,0.05,0.05
Hanna Basin,?,0.15,0.15
